Name,Staff Login ID,Role,Gender,Age,Branch
James Ng,jamesN,S,M,39,JP
Mason,ma89,S,M,54,JE
Helen,HelenL,S,F,27,JP
Yue Hui,yh28,S,F,49,JP
Tay Foo Wei,tayFW,S,M,22,JP
Peter,peter21,S,M,48,JP
Isabella,izbl24,S,F,32,JE
Noah Yap,noahY,S,M,28,JE
Tom Chan,TomC,S,M,56,JP
Elijah,Elijah4,S,M,60,JP
Mia,MiaD,S,F,58,JE
Mary Lee,MaryL,S,F,44,JE
Bernice,BernL,S,F,64,JP
Qin Qin,qz22,S,M,24,JP
Charlotte,cha22,S,F,45,JE
Steven Lim,SteKK,M,M,62,JP
Justin Loh,JustinL,M,M,49,JP
Kimberly Goh,kimG,M,F,30,JP
Alica Ang,AlicaA,M,F,27,JE
Ryan Tay,RyanT,M,M,50,JE
Boss,boss,A,M,44,

